,Date,Close,High,Low,Open,Volume
0,2024-10-03,224.40704345703125,225.5406628776434,222.0702042586661,223.88001079844628,34044200
1,2024-10-04,225.53074645996094,226.72402778202942,222.87569058700512,226.62458134960903,37245100
2,2024-10-07,220.4493408203125,224.42695529805295,220.09135491038006,223.24361256318196,39505400
3,2024-10-08,224.50650024414062,224.71531649859696,222.00059897690352,223.0447257693685,31855700
4,2024-10-09,228.25538635253906,228.46421777631028,223.57175408478048,223.96950943919006,33591100
5,2024-10-10,227.75819396972656,228.21562630222516,225.89866409237993,226.50525089558744,28183500
6,2024-10-11,226.2765350341797,228.12612627842185,226.0677036085129,228.0167412789572,31759200
7,2024-10-14,230.00555419921875,230.43314046117197,227.32066753158787,227.4200987868959,39882100
8,2024-10-15,232.54127502441406,236.16090332060597,231.0695468532438,232.30261271123658,64751400
9,2024-10-16,230.48284912109375,230.8209426799016,228.55370384388218,230.30386376880503,34082200
10,2024-10-17,230.8507843017578,232.5412825211578,229.22991678936268,232.12361966628396,32993800
11,2024-10-18,233.68482971191406,234.8582185948981,232.7003647541102,234.8582185948981,46431500
12,2024-10-21,235.15655517578125,235.52449481958178,233.13791711516282,233.13791711516282,36254500
13,2024-10-22,234.5400390625,234.89802497361626,231.29828871484364,232.5810627118631,38846600
14,2024-10-23,229.46856689453125,233.82405947286142,226.4853561254601,232.76999409553275,52287000
15,2024-10-24,229.27964782714844,229.52824872985036,227.13173238618916,228.69293816499177,31109500
16,2024-10-25,230.11492919921875,231.91479719738325,228.28523030841902,228.45427709115,38802300
17,2024-10-28,232.09378051757812,233.41633904858514,231.24854661133642,232.01424158684446,36087100
18,2024-10-29,232.36228942871094,233.01859945208068,231.01985366097637,231.7954872619061,35417200
19,2024-10-30,228.812255859375,232.1633908639167,228.26533088908346,231.30820323038637,47070900
20,2024-10-31,224.6457061767578,228.5437662121666,224.10871977089283,228.05650301771783,64370100
21,2024-11-01,221.66249084472656,224.08883784550613,219.03726617591775,219.7333456007168,65276700
22,2024-11-04,220.7675323486328,221.5431659237015,218.48041626355018,219.7532516264011,44944500
23,2024-11-05,222.19947814941406,222.6966799421733,219.90240829460964,220.55871830266648,28111300
24,2024-11-06,221.4735565185547,224.80481443000403,219.95212032394844,221.36417152277414,54561100
25,2024-11-07,226.20692443847656,226.6046949785728,223.31322152292373,223.37288331058951,42137700
26,2024-11-08,225.93814086914062,227.63048374280507,225.39061415381417,226.1471868576639,38328800
27,2024-11-11,223.22042846679688,224.68381119249955,220.50272420052974,223.98696589218596,42005600
28,2024-11-12,223.22042846679688,224.5743058460154,222.354350392842,223.53899499841924,40398300
29,2024-11-13,224.10643005371094,225.629540269826,221.75705495073464,223.00142703514817,48566200
30,2024-11-14,227.19247436523438,227.83954176018094,223.9869707245471,224.0068849307252,44923900
31,2024-11-15,223.98695373535156,225.89830725108274,223.26024476090137,225.38064426033654,47923700
32,2024-11-18,226.99337768554688,228.70563485331775,224.15620331601912,224.2358449505769,44633700
33,2024-11-19,227.252197265625,229.123737666772,225.63949596937007,225.95804731142948,36211800
34,2024-11-20,227.9689483642578,228.89475383274825,224.8729502483013,227.0331781982001,35169600
35,2024-11-21,227.49111938476562,229.1237348668511,224.69377351516385,227.8494991340082,42108300
36,2024-11-22,228.8350372314453,229.6812162999479,227.03318893672346,227.03318893672346,38168300
37,2024-11-25,231.821533203125,232.19982717145672,228.70563588373938,230.41789305922475,90152800
38,2024-11-26,234.0016632080078,234.50937670519198,232.27945661483375,232.27945661483375,45986200
39,2024-11-27,233.87225341796875,234.62884134649127,232.75730092131053,233.41433300973634,33498400
40,2024-11-29,236.26145935058594,236.73929396987336,232.91658663539664,233.75280101667178,28481400
41,2024-12-02,238.51126098632812,239.70585504150458,236.0922091638524,236.20171450499868,48137100
42,2024-12-03,241.5574951171875,241.66700046466846,237.82437898500294,238.73028547870095,38861000
43,2024-12-04,241.91587829589844,243.01093178619982,240.16380790150487,241.7765092325954,44383900
44,2024-12-05,241.94573974609375,243.43898620611924,241.03984843814553,242.8914746561807,40033900
45,2024-12-06,241.7466278076172,243.52857697582414,240.99005511798387,241.81631992920728,36870600
46,2024-12-09,245.6390380859375,246.12683738886614,240.6615499788263,240.74119161135067,44649200
47,2024-12-10,246.65444946289062,247.09247084593116,244.23538234840328,245.77840669680953,36914800
48,2024-12-11,245.38018798828125,249.67077984834796,245.1512126229246,246.84357055082145,45205800
49,2024-12-12,246.8435821533203,247.62006903646127,244.57383373711528,245.77839247075497,32777500
50,2024-12-13,247.0128173828125,248.16758302178013,245.13132757947596,246.70421556592945,33155300
51,2024-12-16,249.90969848632812,250.24817919808956,246.53496239648825,246.8734431082497,51694800
52,2024-12-17,252.33872985839844,252.68716009783537,248.655391740455,248.95404406138837,51356400
53,2024-12-18,246.9331817626953,253.13512753347695,246.62457993830327,251.02467749046986,56774100
54,2024-12-19,248.66534423828125,250.86540066585474,245.97750369773615,246.3856613682502,60882300
55,2024-12-20,253.34420776367188,253.85190610745477,244.58382522076937,246.9232356335886,147495300
56,2024-12-23,254.1206817626953,254.49896052911285,252.30886880268173,253.62293295259332,40858800
57,2024-12-24,257.0375061035156,257.04744042152294,254.14058909817473,254.3397007808045,23234700
58,2024-12-26,257.8537902832031,258.9289447577566,256.4700643478404,257.02754060124687,27237100
59,2024-12-27,254.43923950195312,257.53525297634997,251.92063167469624,256.66914450564,42355300
60,2024-12-30,251.06451416015625,252.35866419404098,249.62104554893796,251.09437787562297,35557500
61,2024-12-31,249.29251098632812,252.1396347735265,248.30696287880588,251.30342042234355,39480700
